A00	A00	Cholera	Bệnh tả
A00.0	A000	Cholera due to Vibrio cholerae 01, biovar cholerae	Bệnh tả do Vibrio cholerae 01, typ sinh học cholerae
A00.1	A001	Cholera due to Vibrio cholerae 01, biovar eltor	Bệnh tả do Vibrio cholerae 01, typ sinh học eltor
A00.9	A009	Cholera, unspecified	Bệnh tả, không đặc hiệu
A01	A01	Typhoid and paratyphoid fevers	Bệnh thương hàn và phó thương hàn
A01.0	A010	Typhoid fever	Thương hàn
A01.1	A011	Paratyphoid fever A	Bệnh phó thương hàn A
A01.2	A012	Paratyphoid fever B	Bệnh phó thương hàn B
A01.3	A013	Paratyphoid fever C	Bệnh phó thương hàn C
A01.4	A014	Paratyphoid fever, unspecified	Bệnh phó thương hàn, không xác định
A02	A02	Other salmonella infections	Nhiễm salmonella khác
A02.0	A020	 Salmonella enteritis	Viêm ruột do Salmonella
A02.1	A021	Salmonella sepsis	Nhiễm trùng huyết do Salmonella
A02.2†	A022	Localized salmonella infections	Nhiễm trùng Salmonella khu trú
A02.8	A028	Other specified salmonella infections	Nhiễm trùng salmonella xác định khác
A02.9	A029	Salmonella infection, unspecified	Nhiễm trùng salmonella, không xác định khác
A03	A03	Shigellosis	Bệnh lỵ trực khuẩn
A03.0	A030	Shigellosis due to Shigella dysenteriae	Bệnh lỵ trực khuẩn do Shigella dysenteriae
A03.1	A031	Shigellosis due to Shigella flexneri	Bệnh lỵ trực khuẩn do Shigella flexneri
A03.2	A032	Shigellosis due to Shigella boydii	Bệnh lỵ trực khuẩn do Shigella boydii
A03.3	A033	Shigellosis due to Shigella sonnei	Bệnh lỵ trực khuẩn do Shigella sonnei
A03.8	A038	Other shigellosis	Bệnh lỵ trực khuẩn do Shigella khác
A03.9	A039	Shigellosis, unspecified	Bệnh lỵ trực khuẩn, không đặc hiệu
A04	A04	Other bacterial intestinal infections	Nhiễm trùng đường ruột do vi khuẩn khác
A04.0	A040	Enteropathogenic Escherichia coli infection	Nhiễm Escherichia coli gây bệnh đường ruột
A04.1	A041	Enterotoxigenic Escherichia coli infection	Nhiễm Escherichia coli gây độc tố ruột (ETEC)
A04.2	A042	 Enteroinvasive Escherichia coli infection	Nhiễm Escherichia coli xâm nhập (EIEC)
A04.3	A043	Enterohaemorrhagic Escherichia coli infection	Nhiễm Escherichia coli gây xuất huyết đường ruột (EHEC)
A04.4	A044	Other intestinal Escherichia coli infections	Nhiễm Escherichia coli đường ruột khác
A04.5	A045	 Campylobacter enteritis	Viêm ruột do Campylobacter
A04.6	A046	 Enteritis due to Yersinia enterocolitica	Viêm ruột do Yersinia enterocolitica
A04.7	A047	Enterocolitis due to Clostridium difficile	Viêm ruột do Clostridium difficile
A04.8	A048	Other specified bacterial intestinal infections	Nhiễm trùng đường ruột do vi khuẩn xác định khác
A04.9	A049	 Bacterial intestinal infection, unspecified	Nhiễm trùng đường ruột do vi khuẩn, không xác định
A05	A05	Other bacterial foodborne intoxications, not elsewhere classified	Nhiễm độc thức ăn do vi trùng khác, chưa phân loại nơi khác (NEC)
A05.0	A050	Foodborne staphylococcal intoxication	Nhiễm độc thức ăn do độc tố của tụ cầu
A05.1	A051	Botulism	Bệnh ngộ độc thịt (ngộ độc đồ hộp)
A05.2	A052	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	Nhiễm độc thức ăn do độc tố của Clostridium perfringens [Clostridium welchii]
A05.3	A053	 Foodborne Vibrio parahaemolyticus intoxication	Nhiễm độc thức ăn do độc tố của Vibrio parahaemolyticus
A05.4	A054	Foodborne Bacillus cereus intoxication	Nhiễm độc thức ăn do độc tố của Bacillus cereus
A05.8	A058	 Other specified bacterial foodborne intoxications	Nhiễm độc thức ăn do độc tố của vi khuẩn xác định khác
A05.9	A059	Bacterial foodborne intoxication, unspecified	Nhiễm độc thức ăn do vi khuẩn, không xác định
A06	A06	Amoebiasis	Bệnh do amíp
A06.0	A060	 Acute amoebic dysentery	Bệnh lỵ amíp cấp
A06.1	A061	Chronic intestinal amoebiasis	Bệnh lỵ amíp đường ruột mạn tính
A06.2	A062	Amoebic nondysenteric colitis	Viêm đại tràng do amíp không gây hội chứng lỵ
A06.3	A063	 Amoeboma of intestine	U do amíp đường ruột
A06.4	A064	Amoebic liver abscess	Áp xe gan do amíp
A06.5†	A065	Amoebic lung abscess (J99.8*)	Áp xe phổi do amíp (J99.8*)
A06.6†	A066	 Amoebic brain abscess (G07*)	Áp xe não do amíp (G07*)
A06.7	A067	Cutaneous amoebiasis	Nhiễm amíp ở da
A06.8†	A068	 Amoebic infection of other sites	Nhiễm amíp ở vị trí khác
A06.9	A069	Amoebiasis, unspecified	Bệnh do amíp, không xác định 
A07	A07	Other protozoal intestinal diseases	Bệnh đường ruột do đơn bào khác
A07.0	A070	Balantidiasis	Bệnh do Balantidium
A07.1	A071	 Giardiasis [lambliasis]	Bệnh do Giardia [lamblia]
A07.2	A072	Cryptosporidiosis	Bệnh do Cryptosporidia
A07.3	A073	Isosporiasis	Bệnh do lsospora
A07.8	A078	Other specified protozoal intestinal diseases	Bệnh nhiễm trùng đường ruột do đơn bào xác định khác
